,R,G,B
0,167,167,167
1,166,166,166
2,166,166,166
3,165,165,165
4,166,166,166
5,167,167,167
6,169,169,169
7,170,170,170
8,168,168,168
9,169,169,169
10,170,170,170
11,171,171,171
12,172,172,172
13,173,173,173
14,174,174,174
15,174,174,174
16,175,175,175
17,176,176,176
18,177,177,177
19,178,178,178
20,179,179,179
21,180,180,180
22,181,181,181
23,182,182,182
24,181,181,181
25,182,182,182
26,183,183,183
27,185,185,185
28,187,187,187
29,189,189,189
30,191,191,191
31,191,191,191
32,191,191,191
33,192,192,192
34,193,193,193
35,194,194,194
36,195,195,195
37,196,196,196
38,197,197,197
39,197,197,197
40,197,197,197
41,197,197,197
42,198,198,198
43,199,199,199
44,200,200,200
45,201,201,201
46,202,202,202
47,203,203,203
48,207,207,207
49,207,207,207
50,207,207,207
51,207,207,207
52,208,208,208
53,208,208,208
54,208,208,208
55,208,208,208
56,209,209,209
57,209,209,209
58,209,209,209
59,208,208,208
60,208,208,208
61,208,208,208
62,208,208,208
63,208,208,208
64,209,209,209
65,209,209,209
66,209,209,209
67,209,209,209
68,209,209,209
69,209,209,209
70,208,208,208
71,208,208,208
72,210,210,210
73,210,210,210
74,211,211,211
75,211,211,211
76,212,212,212
77,212,212,212
78,213,213,213
79,213,213,213
80,213,213,213
81,213,213,213
82,213,213,213
83,213,213,213
84,213,213,213
85,213,213,213
86,213,213,213
87,213,213,213
88,208,208,208
89,208,208,208
90,209,209,209
91,209,209,209
92,210,210,210
93,211,211,211
94,211,211,211
95,211,211,211
96,212,212,212
97,212,212,212
98,213,213,213
99,213,213,213
100,214,214,214
101,215,215,215
102,215,215,215
103,215,215,215
104,212,212,212
105,212,212,212
106,212,212,212
107,212,212,212
108,212,212,212
109,212,212,212
110,212,212,212
111,212,212,212
112,213,213,213
113,213,213,213
114,213,213,213
115,213,213,213
116,213,213,213
117,213,213,213
118,213,213,213
119,213,213,213
120,208,208,208
121,208,208,208
122,207,207,207
123,205,205,205
124,204,204,204
125,203,203,203
126,202,202,202
127,201,201,201
128,202,202,202
129,202,202,202
130,201,201,201
131,199,199,199
132,198,198,198
133,197,197,197
134,195,195,195
135,195,195,195
136,198,198,198
137,198,198,198
138,198,198,198
139,197,197,197
140,196,196,196
141,196,196,196
142,195,195,195
143,195,195,195
144,195,195,195
145,195,195,195
146,195,195,195
147,195,195,195
148,195,195,195
149,195,195,195
150,195,195,195
151,195,195,195
152,194,194,194
153,194,194,194
154,194,194,194
155,194,194,194
156,194,194,194
157,194,194,194
158,194,194,194
159,194,194,194
160,195,195,195
161,195,195,195
162,196,196,196
163,196,196,196
164,197,197,197
165,197,197,197
166,198,198,198
167,198,198,198
168,196,196,196
169,196,196,196
170,196,196,196
171,196,196,196
172,196,196,196
173,196,196,196
174,196,196,196
175,196,196,196
176,195,195,195
177,195,195,195
178,195,195,195
179,194,194,194
180,194,194,194
181,193,193,193
182,193,193,193
183,192,192,192
184,191,191,191
185,190,190,190
186,188,188,188
187,186,186,186
188,183,183,183
189,181,181,181
190,179,179,179
191,179,179,179
192,172,172,172
193,170,170,170
194,166,166,166
195,162,162,162
196,160,160,160
197,156,156,156
198,153,153,153
199,150,150,150
200,144,144,144
201,143,143,143
202,142,142,142
203,142,142,142
204,142,142,142
205,142,142,142
206,141,141,141
207,140,140,140
208,142,142,142
209,143,143,143
210,145,145,145
211,148,148,148
212,152,152,152
213,155,155,155
214,157,157,157
215,159,159,159
216,162,162,162
217,164,164,164
218,166,166,166
219,170,170,170
220,174,174,174
221,177,177,177
222,180,180,180
223,181,181,181
224,183,183,183
225,183,183,183
226,183,183,183
227,184,184,184
228,185,185,185
229,185,185,185
230,186,186,186
231,186,186,186
232,190,190,190
233,191,191,191
234,193,193,193
235,194,194,194
236,194,194,194
237,193,193,193
238,191,191,191
239,190,190,190
240,188,188,188
241,190,190,190
242,192,192,192
243,192,192,192
244,188,188,188
245,182,182,182
246,175,175,175
247,170,170,170
248,169,169,169
249,166,166,166
250,163,163,163
251,160,160,160
252,158,158,158
253,155,155,155
254,151,151,151
255,149,149,149
256,139,139,139
257,138,138,138
258,136,136,136
259,133,133,133
260,129,129,129
261,126,126,126
262,124,124,124
263,122,122,122
264,117,117,117
265,117,117,117
266,116,116,116
267,115,115,115
268,113,113,113
269,112,112,112
270,111,111,111
271,111,111,111
272,112,112,112
273,112,112,112
274,111,111,111
275,111,111,111
276,110,110,110
277,109,109,109
278,109,109,109
279,109,109,109
280,110,110,110
281,110,110,110
282,110,110,110
283,109,109,109
284,108,108,108
285,108,108,108
286,107,107,107
287,107,107,107
288,106,106,106
289,106,106,106
290,106,106,106
291,106,106,106
292,106,106,106
293,106,106,106
294,106,106,106
295,106,106,106
296,106,106,106
297,106,106,106
298,107,107,107
299,108,108,108
300,109,109,109
301,109,109,109
302,110,110,110
303,110,110,110
304,111,111,111
305,112,112,112
306,113,113,113
307,114,114,114
308,116,116,116
309,117,117,117
310,118,118,118
311,119,119,119
312,118,118,118
313,118,118,118
314,118,118,118
315,118,118,118
316,119,119,119
317,119,119,119
318,119,119,119
319,119,119,119
320,124,124,124
321,125,125,125
322,126,126,126
323,125,125,125
324,124,124,124
325,123,123,123
326,124,124,124
327,125,125,125
328,128,128,128
329,127,127,127
330,125,125,125
331,124,124,124
332,124,124,124
333,126,126,126
334,128,128,128
335,129,129,129
336,128,128,128
337,131,131,131
338,136,136,136
339,138,138,138
340,139,139,139
341,140,140,140
342,141,141,141
343,142,142,142
344,149,149,149
345,152,152,152
346,155,155,155
347,158,158,158
348,160,160,160
349,162,162,162
